,Country Name,year,GDP_USD,GDP_per_capita_USD
0,australia,2000,415576000000.0,21697.70848
1,brazil,2000,655448000000.0,3749.910848
2,canda,2000,744773000000.0,24271.00206
3,china,2000,1211350000000.0,959.3724836
4,germany,2000,1947980000000.0,23694.76048
5,uk,2000,1662130000000.0,28223.06757
6,india,2000,468395000000.0,443.3141938
7,japan,2000,4968360000000.0,39169.35957
8,russia,2000,259710000000.0,1771.594116
9,usa,2000,10250900000000.0,36329.95607
10,australia,2001,379084000000.0,19527.32358
11,brazil,2001,559984000000.0,3160.249345
12,canda,2001,738982000000.0,23822.06012
13,china,2001,1339400000000.0,1053.108243
14,germany,2001,1945790000000.0,23628.32721
15,uk,2001,1643910000000.0,27806.44882
16,india,2001,485441000000.0,451.5729973
17,japan,2001,4374710000000.0,34406.18246
18,russia,2001,306602000000.0,2100.352539
19,usa,2001,10581900000000.0,37133.62311
20,australia,2002,395343000000.0,20117.78889
21,brazil,2002,509795000000.0,2839.491501
22,canda,2002,760649000000.0,24255.33858
23,china,2002,1470550000000.0,1148.50829
24,germany,2002,2078480000000.0,25197.2656
25,uk,2002,1784080000000.0,30049.89632
26,india,2002,514938000000.0,470.9867868
27,japan,2002,4182850000000.0,32820.79364
28,russia,2002,345470000000.0,2377.529541
29,usa,2002,10929100000000.0,37997.75966
30,australia,2003,467391000000.0,23492.40517
31,brazil,2003,558234000000.0,3070.436419
32,canda,2003,895541000000.0,28300.4631
33,china,2003,1660290000000.0,1288.643252
34,germany,2003,2501640000000.0,30310.3576
35,uk,2003,2057090000000.0,34487.46757
36,india,2003,607699000000.0,546.7266135
37,japan,2003,4519560000000.0,35387.03742
38,russia,2003,430348000000.0,2975.125244
39,usa,2003,11456400000000.0,39490.27496
40,australia,2004,614166000000.0,30513.94174
41,brazil,2004,669289000000.0,3637.31389
42,canda,2004,1026690000000.0,32143.68141
43,china,2004,1955350000000.0,1508.668098
44,germany,2004,2814350000000.0,34106.65812
45,uk,2004,2421810000000.0,40371.71083
46,india,2004,709149000000.0,627.7742417
47,japan,2004,4893120000000.0,38298.98017
48,russia,2004,591017000000.0,4102.364746
49,usa,2004,12217200000000.0,41724.63163
50,australia,2005,695075000000.0,34080.9999
51,brazil,2005,891634000000.0,4790.456566
52,canda,2005,1173110000000.0,36382.50792
53,china,2005,2285970000000.0,1753.417829
54,germany,2005,2846860000000.0,34520.23965
55,uk,2005,2544830000000.0,42132.09072
56,india,2005,820382000000.0,714.8610154
57,japan,2005,4831470000000.0,37812.89502
58,russia,2005,764017000000.0,5323.462891
59,usa,2005,13039200000000.0,44123.40707
60,australia,2006,747556000000.0,36117.48798
61,brazil,2006,1107630000000.0,5886.391522
62,canda,2006,1319260000000.0,40504.06073
63,china,2006,2752130000000.0,2099.229435
64,germany,2006,2994700000000.0,36353.88033
65,uk,2006,2717060000000.0,44654.09692
66,india,2006,940260000000.0,806.7532806
67,japan,2006,4601660000000.0,35991.546
68,russia,2006,989931000000.0,6920.188965
69,usa,2006,13815600000000.0,46302.00088
70,australia,2007,853955000000.0,41001.14298
71,brazil,2007,1397110000000.0,7348.187963
72,canda,2007,1468820000000.0,44659.89514
73,china,2007,3550340000000.0,2693.970063
74,germany,2007,3425580000000.0,41640.08087
75,uk,2007,3106180000000.0,50653.25691
76,india,2007,1216740000000.0,1028.334772
77,japan,2007,4579750000000.0,35779.02454
78,russia,2007,1299710000000.0,9101.254883
79,usa,2007,14474200000000.0,48050.22378
80,australia,2008,1055130000000.0,49654.9106
81,brazil,2008,1695860000000.0,8831.183643
82,canda,2008,1552990000000.0,46710.50558
83,china,2008,4594310000000.0,3468.304602
84,germany,2008,3745260000000.0,45612.71062
85,uk,2008,2938880000000.0,47549.34863
86,india,2008,1198900000000.0,998.5223415
87,japan,2008,5106680000000.0,39876.30397
88,russia,2008,1660850000000.0,11635.27246
89,usa,2008,14769900000000.0,48570.04598
90,australia,2009,928043000000.0,42783.32257
91,brazil,2009,1667000000000.0,8597.794335
92,canda,2009,1374630000000.0,40876.31015
93,china,2009,5101700000000.0,3832.236432
94,germany,2009,3411260000000.0,41650.36783
95,uk,2009,2425800000000.0,38952.21103
96,india,2009,1341890000000.0,1101.960838
97,japan,2009,5289490000000.0,41308.99684
98,russia,2009,1222640000000.0,8562.813477
99,usa,2009,14478100000000.0,47194.94335
100,australia,2010,1147590000000.0,52087.97229
101,brazil,2010,2208840000000.0,11286.07154
102,canda,2010,1617340000000.0,47562.08343
103,china,2010,6087160000000.0,4550.453108
104,germany,2010,3399670000000.0,41572.45595
105,uk,2010,2491110000000.0,39688.61497
106,india,2010,1675620000000.0,1357.563727
107,japan,2010,5759070000000.0,44968.15623
108,russia,2010,1524920000000.0,10674.99609
109,usa,2010,15049000000000.0,48650.64313
110,australia,2011,1397910000000.0,62574.1457
111,brazil,2011,2616160000000.0,13245.38737
112,canda,2011,1793330000000.0,52223.69611
113,china,2011,7551500000000.0,5614.352135
114,germany,2011,3749310000000.0,46705.8958
115,uk,2011,2674890000000.0,42284.88449
116,india,2011,1823050000000.0,1458.104066
117,japan,2011,6233150000000.0,48760.07895
118,russia,2011,2045930000000.0,14311.08398
119,usa,2011,15599700000000.0,50065.9665
120,australia,2012,1546510000000.0,68027.84171
121,brazil,2012,2465230000000.0,12370.22325
122,canda,2012,1828370000000.0,52669.08996
123,china,2012,8532230000000.0,6300.615118
124,germany,2012,3527140000000.0,43855.85447
125,uk,2012,2719160000000.0,42686.80005
126,india,2012,1827640000000.0,1443.882435
127,japan,2012,6272360000000.0,49145.28043
128,russia,2012,2208300000000.0,15420.875
129,usa,2012,16254000000000.0,51784.41857
130,australia,2013,1576340000000.0,68156.62792
131,brazil,2013,2472820000000.0,12300.38671
132,canda,2013,1846600000000.0,52635.17496
133,china,2013,9570410000000.0,7020.338485
